ID,Name,Nationality,Club,Preferred Foot,Work Rate
176635,M. Özil,Germany,Arsenal,Left,Medium/ Low
135507,Fernandinho,Brazil,Manchester City,Right,Medium/ High
41,Iniesta,Spain,Vissel Kobe,Right,High/ Medium
232363,M. Škriniar,Slovakia,Inter,Right,Medium/ High
223848,S. Milinković-Savić,Serbia,Lazio,Right,High/ Medium
220834,Marco Asensio,Spain,Real Madrid,Left,High/ Medium
216594,N. Fekir,France,Olympique Lyonnais,Left,High/ Medium
212622,J. Kimmich,Germany,FC Bayern München,Right,High/ Low
208421,Saúl,Spain,Atlético Madrid,Left,High/ High
204485,R. Mahrez,Algeria,Manchester City,Left,Medium/ Medium
197445,D. Alaba,Austria,FC Bayern München,Left,High/ Medium
193747,Koke,Spain,Atlético Madrid,Right,High/ High
193301,A. Lacazette,France,Arsenal,Right,High/ High
192774,K. Manolas,Greece,Roma,Right,Low/ High
192366,N. Otamendi,Argentina,Manchester City,Right,High/ High
189513,Parejo,Spain,Valencia CF,Right,Medium/ Low
184941,A. Sánchez,Chile,Manchester United,Right,High/ High
184267,Y. Brahimi,Algeria,FC Porto,Right,High/ Medium
183907,J. Boateng,Germany,FC Bayern München,Right,Medium/ Medium
181872,A. Vidal,Chile,FC Barcelona,Right,Medium/ Medium
181458,I. Perišić,Croatia,Inter,Right,Medium/ Medium
180930,E. Džeko,Bosnia Herzegovina,Roma,Right,Medium/ Medium
179846,S. Khedira,Germany,Juventus,Right,High/ High
179844,Diego Costa,Spain,Atlético Madrid,Right,High/ Medium
178518,R. Nainggolan,Belgium,Inter,Right,High/ High
171919,Naldo,Brazil,FC Schalke 04,Right,Medium/ Medium
170890,B. Matuidi,France,Juventus,Left,High/ High
168609,Miranda,Brazil,Inter,Right,Medium/ High
165153,K. Benzema,France,Real Madrid,Right,Medium/ Low
164169,Filipe Luís,Brazil,Atlético Madrid,Left,High/ Medium
139720,V. Kompany,Belgium,Manchester City,Right,Medium/ High
120533,Pepe,Portugal,Beşiktaş JK,Right,Medium/ High
41236,Z. Ibrahimović,Sweden,LA Galaxy,Right,Medium/ Low
220793,D. Sánchez,Colombia,Tottenham Hotspur,Right,Medium/ High
216460,J. Giménez,Uruguay,Atlético Madrid,Right,Medium/ High
212462,Alex Telles,Brazil,FC Porto,Left,High/ Medium
212218,A. Laporte,France,Manchester City,Left,Medium/ Medium
212198,Bruno Fernandes,Portugal,Sporting CP,Right,High/ Medium
212190,N. Süle,Germany,FC Bayern München,Right,Medium/ Medium
211300,A. Martial,France,Manchester United,Right,Medium/ Medium
211117,D. Alli,England,Tottenham Hotspur,Right,High/ High
209499,Fabinho,Brazil,Liverpool,Right,Medium/ Medium
207865,Marquinhos,Brazil,Paris Saint-Germain,Right,Medium/ Medium
207566,William Carvalho,Portugal,Real Betis,Right,Medium/ Medium
205498,Jorginho,Italy,Chelsea,Right,Medium/ Medium
204970,F. Thauvin,France,Olympique de Marseille,Left,High/ Medium
204963,Carvajal,Spain,Real Madrid,Right,High/ High
202556,M. Depay,Netherlands,Olympique Lyonnais,Right,High/ Low
200104,H. Son,Korea Republic,Tottenham Hotspur,Right,High/ High
198176,S. de Vrij,Netherlands,Inter,Right,Medium/ High
193082,J. Cuadrado,Colombia,Juventus,Right,High/ Medium
192629,Iago Aspas,Spain,RC Celta,Left,High/ High
191202,N. Matić,Serbia,Manchester United,Left,Medium/ High
190584,Illarramendi,Spain,Real Sociedad,Right,Medium/ High
188377,K. Walker,England,Manchester City,Right,High/ High
186942,I. Gündoğan,Germany,Manchester City,Right,High/ Medium
185020,José Callejón,Spain,Napoli,Right,High/ High
183898,A. Di María,Argentina,Paris Saint-Germain,Left,High/ Medium
181783,M. Mandžukić,Croatia,Juventus,Right,High/ High
180403,Willian,Brazil,Chelsea,Right,High/ High
178562,E. Banega,Argentina,Sevilla FC,Right,Medium/ Medium
177413,A. Witsel,Belgium,Borussia Dortmund,Right,Medium/ Medium
177388,D. Payet,France,Olympique de Marseille,Right,High/ Low
176769,Jonas,Brazil,SL Benfica,Right,High/ Medium
172879,Sokratis,Greece,Arsenal,Right,Medium/ High
167397,Falcao,Colombia,AS Monaco,Right,High/ Medium
157481,Raúl Albiol,Spain,Napoli,Right,Low/ High
143076,A. Gómez,Argentina,Atalanta,Right,High/ Medium
137186,A. Barzagli,Italy,Juventus,Right,Low/ High
20775,Quaresma,Portugal,Beşiktaş JK,Right,High/ Low
9014,A. Robben,Netherlands,FC Bayern München,Left,High/ Low
231443,O. Dembélé,France,FC Barcelona,Left,High/ Low
230666,Gabriel Jesus,Brazil,Manchester City,Right,High/ High
230481,Ronaldo Cabrais,Brazil,Grêmio,Right,High/ Medium
230375,Josué Chiamulera,Brazil,Grêmio,Right,Medium/ Medium
230294,Louri Beretta,Brazil,Atlético Mineiro,Right,High/ Low
225850,P. Kimpembe,France,Paris Saint-Germain,Left,High/ High
220971,N. Keïta,Guinea,Liverpool,Right,High/ Medium
219683,C. Tolisso,France,FC Bayern München,Right,High/ Medium
213565,T. Lemar,France,Atlético Madrid,Left,High/ Medium
213345,K. Coman,France,FC Bayern München,Right,Medium/ Low
213331,J. Tah,Germany,Bayer 04 Leverkusen,Right,Medium/ Medium
212188,T. Werner,Germany,RB Leipzig,Right,High/ Medium
210008,A. Rabiot,France,Paris Saint-Germain,Left,High/ Medium
209658,L. Goretzka,Germany,FC Bayern München,Right,High/ High
208808,Q. Promes,Netherlands,Sevilla FC,Right,High/ Low
208670,H. Ziyech,Morocco,Ajax,Left,High/ High
208618,Lucas Vázquez,Spain,Real Madrid,Right,High/ High
208418,Y. Carrasco,Belgium,Dalian YiFang FC,Right,High/ Medium
208093,Gerard Moreno,Spain,Villarreal CF,Left,High/ Medium
207863,Felipe,Brazil,FC Porto,Right,Medium/ High
206545,Manu Trigueros,Spain,Villarreal CF,Right,Medium/ Medium
206113,S. Gnabry,Germany,FC Bayern München,Right,High/ Medium
204639,S. Savić,Montenegro,Atlético Madrid,Right,Medium/ High
203574,J. Stones,England,Manchester City,Right,High/ Medium
202651,Suso,Spain,Milan,Left,High/ Medium
202166,J. Draxler,Germany,Paris Saint-Germain,Right,Medium/ Medium
201995,Felipe Anderson,Brazil,West Ham United,Right,High/ Medium
200949,Lucas Moura,Brazil,Tottenham Hotspur,Right,High/ Medium
200888,Danilo Pereira,Portugal,FC Porto,Right,Medium/ High
200724,Nacho Fernández,Spain,Real Madrid,Right,Medium/ High
199914,Allan,Brazil,Napoli,Right,Medium/ High
199845,F. Acerbi,Italy,Lazio,Left,Medium/ Medium
199564,Sergi Roberto,Spain,FC Barcelona,Right,High/ High
198329,Rodrigo,Spain,Valencia CF,Left,High/ Medium
197965,Pizzi,Portugal,SL Benfica,Right,High/ Medium
195365,K. Kampl,Slovenia,RB Leipzig,Right,High/ High
193474,I. Gueye,Senegal,Everton,Right,Medium/ High
192883,H. Mkhitaryan,Armenia,Arsenal,Right,Medium/ Medium
192638,Marcos Alonso,Spain,Chelsea,Left,High/ Low
190547,K. Glik,Poland,AS Monaco,Right,Low/ Medium
189712,K. Strootman,Netherlands,Olympique de Marseille,Left,Medium/ High
189068,B. Dost,Netherlands,Sporting CP,Right,Medium/ Medium
188152,Oscar,Brazil,Shanghai SIPG FC,Right,Medium/ Medium
186627,M. Balotelli,Italy,OGC Nice,Right,Medium/ Low
185221,Luiz Gustavo,Brazil,Olympique de Marseille,Left,Medium/ High
184942,Giuliano,Brazil,Al Nassr,Right,High/ Medium
179944,David Luiz,Brazil,Chelsea,Right,Medium/ Medium
178088,Juan Mata,Spain,Manchester United,Left,Medium/ Medium
177610,Javi Martínez,Spain,FC Bayern München,Right,Medium/ Medium
177457,L. Bender,Germany,Bayer 04 Leverkusen,Right,High/ High
176266,Lucas Leiva,Brazil,Lazio,Right,Medium/ High
162895,Cesc Fàbregas,Spain,Chelsea,Right,High/ Medium
162240,M. Dembélé,Belgium,Tottenham Hotspur,Left,Medium/ Medium
156616,F. Ribéry,France,FC Bayern München,Right,Medium/ Medium
53302,D. De Rossi,Italy,Roma,Right,Medium/ High
235243,M. de Ligt,Netherlands,Ajax,Right,Medium/ Medium
231866,Rodri,Spain,Atlético Madrid,Right,Medium/ High
230658,Arthur,Brazil,FC Barcelona,Right,Medium/ Medium
230258,Rosberto Dourado,Brazil,Atlético Mineiro,Right,High/ Medium
230225,Juiano Mestres,Brazil,Cruzeiro,Right,High/ Medium
227055,Gelson Martins,Portugal,Atlético Madrid,Right,High/ Medium
224411,Gonçalo Guedes,Portugal,Valencia CF,Right,High/ Low
223959,L. Torreira,Uruguay,Arsenal,Right,Medium/ High
222737,Malcom,Brazil,FC Barcelona,Left,Medium/ Medium
220814,L. Hernández,France,Atlético Madrid,Left,Medium/ High
220440,C. Lenglet,France,FC Barcelona,Left,Medium/ High
216354,A. Kramarić,Croatia,TSG 1899 Hoffenheim,Right,Medium/ Medium
216267,A. Robertson,Scotland,Liverpool,Left,High/ High
216194,Dani García,Spain,Athletic Club de Bilbao,Right,Medium/ High
212404,F. Bernardeschi,Italy,Juventus,Left,High/ High
212194,J. Brandt,Germany,Bayer 04 Leverkusen,Right,Medium/ Medium
211320,D. Rugani,Italy,Juventus,Right,Low/ Medium
210617,Samu Castillejo,Spain,Milan,Left,Medium/ High
210514,João Cancelo,Portugal,Juventus,Right,High/ Medium
210413,A. Romagnoli,Italy,Milan,Left,Medium/ High
209989,T. Partey,Ghana,Atlético Madrid,Right,High/ High
209297,Fred,Brazil,Manchester United,Left,High/ High
208830,J. Vardy,England,Leicester City,Right,High/ High
208596,A. Belotti,Italy,Torino,Right,High/ High
208448,E. Forsberg,Sweden,RB Leipzig,Right,Medium/ Medium
207494,J. Lingard,England,Manchester United,Right,High/ High
207471,F. Vázquez,Argentina,Sevilla FC,Left,Medium/ High
205678,E. Višća,Bosnia Herzegovina,Medipol Başakşehir FK,Right,High/ Medium
205452,A. Rüdiger,Germany,Chelsea,Right,Medium/ High
203551,A. Florenzi,Italy,Roma,Right,High/ Medium
203263,H. Maguire,England,Leicester City,Right,High/ High
202371,T. Meunier,Belgium,Paris Saint-Germain,Right,High/ High
201956,S. Sané,Senegal,FC Schalke 04,Right,Medium/ High
201455,G. Kondogbia,Central African Rep.,Valencia CF,Left,High/ Medium
201400,Rafinha,Brazil,FC Barcelona,Left,High/ High
201305,Gabriel Paulista,Brazil,Valencia CF,Right,Low/ High
201153,Morata,Spain,Chelsea,Right,High/ High
199451,W. Ben Yedder,France,Sevilla FC,Right,High/ High
198951,C. Bakambu,DR Congo,Beijing Sinobo Guoan FC,Right,Medium/ Medium
198950,Pablo Sarabia,Spain,Sevilla FC,Left,High/ Medium
198717,W. Zaha,Ivory Coast,Crystal Palace,Right,High/ Low
198706,Luis Alberto,Spain,Lazio,Right,High/ Medium
198164,Jonathan Viera,Spain,Beijing Sinobo Guoan FC,Right,High/ Low
198141,Bartra,Spain,Real Betis,Right,High/ Medium
197655,S. Coates,Uruguay,Sporting CP,Right,Medium/ Medium
195093,Willian José,Brazil,Real Sociedad,Right,Medium/ Low
193525,Mário Fernandes,Russia,PFC CSKA Moscow,Right,High/ High
193469,Víctor Ruiz,Spain,Villarreal CF,Left,Medium/ Medium
193283,T. Delaney,Denmark,Borussia Dortmund,Left,High/ High
192318,M. Götze,Germany,Borussia Dortmund,Right,Medium/ Medium
192227,S. Mustafi,Germany,Arsenal,Right,Medium/ High
191180,J. Pastore,Argentina,Roma,Right,High/ Medium
189505,Pedro,Spain,Chelsea,Right,High/ High
189125,G. Bonaventura,Italy,Milan,Right,High/ Medium
188803,Taison,Brazil,Shakhtar Donetsk,Right,Medium/ Medium
187936,S. Nzonzi,France,Roma,Right,Medium/ Medium
187754,Marlos,Ukraine,Shakhtar Donetsk,Left,Medium/ Medium
186561,A. Ramsey,Wales,Arsenal,Right,High/ High
186345,K. Trippier,England,Tottenham Hotspur,Right,High/ High
185103,A. Kolarov,Serbia,Roma,Left,High/ Medium
184484,G. Sigurðsson,Iceland,Everton,Right,High/ High
184431,S. Giovinco,Italy,Toronto FC,Right,High/ Medium
184200,M. Arnautović,Austria,West Ham United,Right,High/ Medium
184144,N. Gaitán,Argentina,Dalian YiFang FC,Left,Medium/ Medium
183711,J. Henderson,England,Liverpool,Right,Medium/ High
183574,M. Kruse,Germany,SV Werder Bremen,Left,High/ Medium
183498,M. Parolo,Italy,Lazio,Right,High/ High
183376,L. Fejsa,Serbia,SL Benfica,Right,Low/ High
183280,A. Rami,France,Olympique de Marseille,Right,High/ High
181786,V. Ćorluka,Croatia,Lokomotiv Moscow,Right,High/ Medium
181291,G. Wijnaldum,Netherlands,Liverpool,Right,High/ High
179847,F. Fazio,Argentina,Roma,Right,Medium/ Medium
178509,O. Giroud,France,Chelsea,Left,Medium/ Medium
173521,Marcano,Spain,Roma,Left,Medium/ Medium
171897,A. Guardado,Mexico,Real Betis,Left,Medium/ Medium
170481,E. Garay,Argentina,Valencia CF,Right,Medium/ Medium
168530,Jardel,Brazil,SL Benfica,Right,Medium/ High
165229,L. Koscielny,France,Arsenal,Right,Medium/ High
158963,L. Biglia,Argentina,Milan,Right,Medium/ High
146530,Dani Alves,Brazil,Paris Saint-Germain,Right,High/ Low
113422,David Villa,Spain,New York City FC,Right,High/ Low
106231,Aduriz,Spain,Athletic Club de Bilbao,Right,High/ Medium
231677,M. Rashford,England,Manchester United,Right,High/ Medium
230271,Laure Santeiro,Brazil,Fluminense,Left,Medium/ Medium
229906,L. Bailey,Jamaica,Bayer 04 Leverkusen,Left,High/ Medium
229237,M. Akanji,Switzerland,Borussia Dortmund,Right,Medium/ High
228702,F. de Jong,Netherlands,Ajax,Right,Medium/ Medium
227928,Nélson Semedo,Portugal,FC Barcelona,Right,Medium/ High
226456,Pablo Fornals,Spain,Villarreal CF,Right,High/ High
226271,Fabián,Spain,Napoli,Left,Medium/ Medium
225508,E. Bailly,Ivory Coast,Manchester United,Right,Medium/ High
222509,Dani Ceballos,Spain,Real Madrid,Right,Medium/ Medium
221992,H. Lozano,Mexico,PSV,Right,High/ Medium
216475,Morales,Spain,Levante UD,Right,High/ Medium
216451,J. Seri,Ivory Coast,Fulham,Right,Medium/ Medium
216352,M. Brozović,Croatia,Inter,Right,Medium/ Medium
216201,Williams,Spain,Athletic Club de Bilbao,Right,High/ High
214997,A. Correa,Argentina,Atlético Madrid,Right,Medium/ Low
213661,A. Christensen,Denmark,Chelsea,Right,Low/ Medium
212814,João Mário,Portugal,Inter,Right,Medium/ Medium
210864,E. Hysaj,Albania,Napoli,Right,Medium/ Medium
210406,P. Zieliński,Poland,Napoli,Right,Medium/ Medium
210243,Ricardo Pereira,Portugal,Leicester City,Right,High/ High
210035,Grimaldo,Spain,SL Benfica,Left,High/ Medium
209889,R. Guerreiro,Portugal,Borussia Dortmund,Left,Medium/ Medium
208135,A. Doucouré,France,Watford,Right,High/ Medium
207877,J. Martínez,Venezuela,Atlanta United,Right,High/ Medium
207664,C. Bacca,Colombia,Villarreal CF,Right,Medium/ Low
206467,A. Plea,France,Borussia Mönchengladbach,Right,High/ Medium
205923,B. Davies,Wales,Tottenham Hotspur,Left,High/ High
205362,M. Nastasić,Serbia,FC Schalke 04,Left,Low/ High
205175,A. Milik,Poland,Napoli,Left,Medium/ Medium
204923,M. Sabitzer,Austria,RB Leipzig,Right,High/ High
204884,B. Mendy,France,Manchester City,Left,High/ Low
204024,C. Kramer,Germany,Borussia Mönchengladbach,Right,High/ High
203486,T. Hazard,Belgium,Borussia Mönchengladbach,Right,Medium/ Medium
202857,K. Bellarabi,Germany,Bayer 04 Leverkusen,Right,High/ High
201454,F. Ghoulam,Algeria,Napoli,Left,High/ Medium
200647,J. Iličić,Slovenia,Atalanta,Left,Medium/ Medium
200610,K. Volland,Germany,Bayer 04 Leverkusen,Left,High/ High
200454,Paco Alcácer,Spain,Borussia Dortmund,Right,High/ Medium
199715,Vitolo,Spain,Atlético Madrid,Right,High/ High
199503,G. Xhaka,Switzerland,Arsenal,Left,Medium/ Medium
199434,D. Tadić,Serbia,Ajax,Left,Medium/ Low
199042,C. Aránguiz,Chile,Bayer 04 Leverkusen,Right,Medium/ Medium
196889,S. Verdi,Italy,Napoli,Left,High/ Medium
195086,D. Lovren,Croatia,Liverpool,Right,Medium/ High
193532,G. Medel,Chile,Beşiktaş JK,Right,Medium/ High
193348,X. Shaqiri,Switzerland,Liverpool,Left,Medium/ Medium
193165,J. Corona,Mexico,FC Porto,Right,Medium/ Low
192641,K. Vogt,Germany,TSG 1899 Hoffenheim,Right,High/ Medium
191740,Ander Herrera,Spain,Manchester United,Right,High/ High
190972,E. Salvio,Argentina,SL Benfica,Right,High/ Medium
190813,S. El Shaarawy,Italy,Roma,Right,High/ Medium
189881,C. Smalling,England,Manchester United,Right,Medium/ High
189362,Hulk,Brazil,Shanghai SIPG FC,Left,High/ Medium
189358,S. Kagawa,Japan,Borussia Dortmund,Right,High/ Medium
188988,M. Lanzini,Argentina,West Ham United,Right,Medium/ Medium
187491,F. Smolov,Russia,Lokomotiv Moscow,Right,High/ Medium
187072,L. Stindl,Germany,Borussia Mönchengladbach,Right,Medium/ Medium
185239,O. Toprak,Turkey,Borussia Dortmund,Right,Medium/ Medium
183900,D. Perotti,Argentina,Roma,Right,Medium/ Medium
179784,B. Höwedes,Germany,Lokomotiv Moscow,Right,Medium/ Medium
179645,S. Kjær,Denmark,Sevilla FC,Right,Low/ High
177458,S. Bender,Germany,Bayer 04 Leverkusen,Right,Medium/ High
177326,M. Valbuena,France,Fenerbahçe SK,Right,High/ Medium
175379,Pedro León,Spain,SD Eibar,Right,Medium/ Low
173909,K. Boateng,Ghana,Sassuolo,Right,High/ Medium
173771,L. Piszczek,Poland,Borussia Dortmund,Right,Medium/ Medium
173221,A. Candreva,Italy,Inter,Right,Medium/ Medium
172522,D. Wass,Denmark,Valencia CF,Right,High/ Medium
170368,E. Lamela,Argentina,Tottenham Hotspur,Left,High/ High
169595,D. Rose,England,Tottenham Hotspur,Left,Medium/ High
169416,C. Vela,Mexico,Los Angeles FC,Left,High/ Low
169195,Renato Augusto,Brazil,Beijing Sinobo Guoan FC,Right,Medium/ Medium
167905,A. Valencia,Ecuador,Manchester United,Right,High/ High
162347,João Moutinho,Portugal,Wolverhampton Wanderers,Right,High/ Medium
161956,Borja Valero,Spain,Inter,Right,Medium/ Medium
159261,F. Quagliarella,Italy,Sampdoria,Right,Medium/ Medium
159145,B. Gomis,France,Al Hilal,Right,High/ Low
157960,Manuel Fernandes,Portugal,Lokomotiv Moscow,Right,High/ Medium
156519,H. Herrera,Mexico,FC Porto,Right,High/ High
144622,Raffael,Brazil,Borussia Mönchengladbach,Right,High/ Medium
139068,Nani,Portugal,Sporting CP,Right,High/ Medium
138412,J. Milner,England,Liverpool,Right,High/ High
112316,J. Mathieu,France,Sporting CP,Left,High/ Medium
45186,Joaquín,Spain,Real Betis,Right,High/ Medium
239207,M. Gómez,Uruguay,RC Celta,Right,Low/ Medium
235790,K. Havertz,Germany,Bayer 04 Leverkusen,Left,Medium/ Medium
235569,T. Ndombele,France,Olympique Lyonnais,Right,High/ High
234906,H. Aouar,France,Olympique Lyonnais,Right,High/ Medium
234153,Carlos Soler,Spain,Valencia CF,Right,Medium/ Medium
234035,Odriozola,Spain,Real Madrid,Right,High/ Medium
230977,M. Almirón,Paraguay,Atlanta United,Left,High/ High
230347,Welington Dano,Brazil,Cruzeiro,Left,Medium/ Medium
230234,Everton Andrão,Brazil,Fluminense,Right,High/ High
230142,Oyarzabal,Spain,Real Sociedad,Left,High/ Medium
228229,F. Balbuena,Paraguay,West Ham United,Right,Medium/ Medium
227536,M. Marega,Mali,FC Porto,Right,High/ Medium
226851,B. Pavard,France,VfB Stuttgart,Right,Medium/ Medium
226790,W. Ndidi,Nigeria,Leicester City,Right,Medium/ High
224334,M. Acuña,Argentina,Sporting CP,Left,Medium/ High
224293,Rúben Neves,Portugal,Wolverhampton Wanderers,Right,Medium/ Medium
221639,Mariano,Dominican Republic,Real Madrid,Right,High/ Medium
221540,Raúl,Brazil,SC Braga,Left,Medium/ Medium
220477,M. Caldara,Italy,Milan,Right,Medium/ High
219985,M. Vecino,Uruguay,Inter,Right,High/ High
218339,M. Dahoud,Germany,Borussia Dortmund,Right,High/ High
216547,Rafa,Portugal,SL Benfica,Right,High/ Medium
212692,Rony Lopes,Portugal,AS Monaco,Left,High/ Medium
212623,Santi Mina,Spain,Valencia CF,Right,High/ Medium
211748,K. Demirbay,Germany,TSG 1899 Hoffenheim,Left,Medium/ Medium
211688,Gayà,Spain,Valencia CF,Left,High/ Medium
211256,N. Tagliafico,Argentina,Ajax,Left,High/ Medium
210896,M. Sanson,France,Olympique de Marseille,Right,Medium/ Medium
208333,E. Can,Germany,Juventus,Right,High/ High
208128,H. Çalhanoğlu,Turkey,Milan,Right,Medium/ Medium
207862,M. Ginter,Germany,Borussia Mönchengladbach,Right,Medium/ Medium
207599,M. Keane,England,Everton,Right,Medium/ High
206413,T. Stepanenko,Ukraine,Shakhtar Donetsk,Left,Medium/ High
205988,L. Shaw,England,Manchester United,Left,High/ Medium
205705,Z. Feddal,Morocco,Real Betis,Left,Medium/ Medium
205693,S. Haller,France,Eintracht Frankfurt,Right,High/ Medium
205525,Bernard,Brazil,Everton,Right,High/ Medium
205114,T. Inui,Japan,Real Betis,Right,Medium/ Medium
205070,Portu,Spain,Girona FC,Right,Medium/ Medium
204399,E. Zahavi,Israel,Guangzhou R&F; FC,Right,High/ Low
203747,Héctor Bellerín,Spain,Arsenal,Right,High/ Low
203605,P. Kadeřábek,Czech Republic,TSG 1899 Hoffenheim,Right,High/ Medium
202849,J. Vestergaard,Denmark,Southampton,Right,Medium/ Medium
202695,J. Tarkowski,England,Burnley,Right,Medium/ Medium
202477,Deulofeu,Spain,Watford,Right,High/ Low
202335,E. Dier,England,Tottenham Hotspur,Right,Medium/ High
201377,J. Murillo,Colombia,Valencia CF,Right,Medium/ High
201144,M. Badelj,Croatia,Lazio,Right,Medium/ Medium
201119,Ismaily,Brazil,Shakhtar Donetsk,Left,High/ High
200536,N. Schulz,Germany,TSG 1899 Hoffenheim,Left,High/ Medium
200458,L. Digne,France,Everton,Left,High/ Medium
200318,M. Uth,Germany,FC Schalke 04,Left,Medium/ High
200315,Cristian Tello,Spain,Real Betis,Right,Medium/ Low
199206,D. Vida,Croatia,Beşiktaş JK,Right,Medium/ High
199110,L. Muriel,Colombia,Sevilla FC,Right,High/ Medium
199069,V. Aboubakar,Cameroon,FC Porto,Right,High/ Medium
198784,A. Oxlade-Chamberlain,England,Liverpool,Right,High/ High
197853,S. Aurier,Ivory Coast,Tottenham Hotspur,Right,High/ High
197061,J. Matip,Cameroon,Liverpool,Right,Medium/ Medium
195861,Y. Rakitskyi,Ukraine,Shakhtar Donetsk,Left,High/ Medium
194879,Sergi Enrich,Spain,SD Eibar,Right,High/ High
194794,A. Yarmolenko,Ukraine,West Ham United,Left,High/ Medium
194229,Hugo Mallo,Spain,RC Celta,Right,High/ Medium
194022,André Almeida,Portugal,SL Benfica,Right,Medium/ High
193886,D. Didavi,Germany,VfB Stuttgart,Left,Medium/ Medium
193352,R. Rodríguez,Switzerland,Milan,Left,Medium/ Medium
193061,R. Pereyra,Argentina,Watford,Right,High/ Medium
192789,Mario Gaspar,Spain,Villarreal CF,Right,High/ Medium
191687,Maicon,Brazil,Galatasaray SK,Right,Medium/ High
190815,D. Blind,Netherlands,Ajax,Left,Medium/ Medium
190286,Canales,Spain,Real Betis,Left,High/ Medium
190264,Iago Falqué,Spain,Torino,Left,High/ High
189805,L. de Jong,Netherlands,PSV,Right,Medium/ High
189575,Muniain,Spain,Athletic Club de Bilbao,Right,High/ Medium
189354,Susaeta,Spain,Athletic Club de Bilbao,Right,High/ Medium
